Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,137.916,12.772,2.834,4851.181,14.238,15.582,28.169,584.334,-1040.252,-4702.168,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,,11.521,0.825,4358.986,17.285,,,325.437,-1256.074,-4161.385,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,,11.732,1.166,4409.183,16.838,,,241.56,-1256.602,-4219.419,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,,10.789,1.026,4236.516,16.967,,,92.967,-1235.206,-4051.381,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,,12.064,4.313,4489.121,16.002,,,64.463,-1238.352,-4314.456,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,,12.13,1.721,4504.621,15.216,,,-18.757,-1184.652,-4346.016,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14340,7.9746,KAD_LUPE_Transect 1,0.2308,,13.171,2,4702.471,15.105,,,-102.975,-1223.761,-4539.277,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14416,8.0169,KAD_LUPE_Transect 1,0.2731,,8.551,2.745,3730.335,13.933,,,253.772,-863.715,-3620.082,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,14480,8.0525,KAD_LUPE_Transect 1,0.3086,166.787,5.088,4.748,3319.269,13.952,2.669,12.533,676.972,-426.808,-3221.349,KAD_LUPE,Peter,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,,
GX010031_L.MP4,14542,8.087,KAD_LUPE_Transect 1,0.3431,308.441,18.953,4.165,6046.454,16.598,3.853,1.637,-1727.066,24.828,-5794.501,KAD_LUPE,Peter,Labridae,Bodianus,loxozonus,37384059,1,AD,Passing,,
GX010031_L.MP4,14588,8.1125,KAD_LUPE_Transect 1,0.3687,,3.302,0.688,2324.833,22.284,,,835.128,-283.672,-2151.033,KAD_LUPE,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,,
GX010031_L.MP4,14627,8.1342,KAD_LUPE_Transect 1,0.3904,48.589,3.924,7.609,2036.46,26.144,47.351,40.623,652.049,-616.468,-1828.105,KAD_LUPE,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,,
GX010031_L.MP4,14803,8.2321,KAD_LUPE_Transect 1,0.4883,,7.59,3.506,3654.816,23.25,,,1357.772,-489.739,-3357.721,KAD_LUPE,Peter,Scaridae,Scarus,sp,,1,AD,Passing,,
GX010031_L.MP4,14853,8.2599,KAD_LUPE_Transect 1,0.5161,192.788,14.313,4.462,4931.593,15.415,14.281,22.759,-1296.755,-191.985,-4754.175,KAD_LUPE,Peter,Acanthuridae,Acanthurus,blochii,37437007,1,AD,Passing,,
GX010031_L.MP4,14877,8.2733,KAD_LUPE_Transect 1,0.5294,,4.147,0.098,2604.365,21.513,,,854.929,-427.158,-2422.675,KAD_LUPE,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,,
GX010031_L.MP4,14928,8.3016,KAD_LUPE_Transect 1,0.5578,,9.558,0.504,4355.879,25.41,,,-1848.401,274.944,-3934.654,KAD_LUPE,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,
GX010031_L.MP4,15028,8.3572,KAD_LUPE_Transect 1,0.6134,,7.472,7.593,3779.559,31.07,,,1782.714,-793.464,-3236.884,KAD_LUPE,Peter,Labridae,Labropsis,australis,37384132,1,AD,Passing,,
GX010031_L.MP4,15035,8.3611,KAD_LUPE_Transect 1,0.6173,79.024,6.843,3.295,2927.23,18.418,22.484,13.757,757.53,-530.533,-2777.294,KAD_LUPE,Peter,Labridae,Labropsis,australis,37384132,1,AD,Passing,,
GX010031_L.MP4,15035,8.3611,KAD_LUPE_Transect 1,0.6173,126.477,3.127,4.007,2181.716,18.775,15.261,11.291,-456.924,-533.204,-2065.623,KAD_LUPE,Peter,Mullidae,Parupeneus,barberinus,37355022,1,AD,Passing,,
GX010031_L.MP4,15118,8.4073,KAD_LUPE_Transect 1,0.6634,89.543,1.667,11.3,1569.304,23.123,3.956,29.014,-457.617,-412.76,-1443.237,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15118,8.4073,KAD_LUPE_Transect 1,0.6634,88.461,2.01,15.153,1544.33,24.514,27.229,30.92,-442.409,-463.539,-1405.12,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15257,8.4846,KAD_LUPE_Transect 1,0.7407,118.793,2.71,7.169,1677.217,19.261,42.756,41.743,-484.588,-266.989,-1583.335,KAD_LUPE,Peter,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,,
GX010031_L.MP4,15288,8.5018,KAD_LUPE_Transect 1,0.758,116.365,4.371,1.745,2577.284,12.612,16.148,5.364,-411.866,-383.454,-2515.099,KAD_LUPE,Peter,Zanclidae,Zanclus,cornutus,37437001,1,AD,Passing,,
GX010031_L.MP4,15330,8.5252,KAD_LUPE_Transect 1,0.7813,,1.974,5.725,1756.489,21.718,,,-595.539,-261.338,-1631.652,KAD_LUPE,Peter,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,,
GX010031_L.MP4,15332,8.5263,KAD_LUPE_Transect 1,0.7824,,3.386,0.015,2334.571,17.223,,,-625.561,-295.378,-2229.719,KAD_LUPE,Peter,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,,
GX010031_L.MP4,15396,8.5619,KAD_LUPE_Transect 1,0.818,112.168,6.973,4.335,2649.08,13.113,31.553,12.94,-329.463,-502.655,-2580.003,KAD_LUPE,Peter,Chaetodontidae,Chaetodon,baronessa,37365034,1,AD,Passing,,
GX010031_L.MP4,15396,8.5619,KAD_LUPE_Transect 1,0.818,98.088,4.642,2.428,2778.496,12.202,15.39,8.071,-314.305,-496.073,-2715.726,KAD_LUPE,Peter,Chaetodontidae,Chaetodon,baronessa,37365034,1,AD,Passing,,
GX010031_L.MP4,15396,8.5619,KAD_LUPE_Transect 1,0.818,101.948,4.155,4.153,2697.648,8.612,16.094,32.233,-236.71,-327.336,-2667.231,KAD_LUPE,Peter,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,,
GX010031_L.MP4,15396,8.5619,KAD_LUPE_Transect 1,0.818,126.158,4.802,4.173,2321.159,15.28,31.65,32.023,-554.463,-258.382,-2239.105,KAD_LUPE,Peter,Nemipteridae,Scolopsis,bilineata,37347031,1,AD,Passing,,
GX010031_L.MP4,15407,8.568,KAD_LUPE_Transect 1,0.8242,90.613,4.174,2.233,2549.331,20.206,19.908,15.811,-191.403,-859.479,-2392.436,KAD_LUPE,Peter,Chaetodontidae,Chaetodon,mertensii,37365044,1,AD,Passing,,
GX010031_L.MP4,15407,8.568,KAD_LUPE_Transect 1,0.8242,,3.314,4.303,2305.8,22.17,,,-49.402,-869.963,-2134.815,KAD_LUPE,Peter,Chaetodontidae,Chaetodon,mertensii,37365044,1,AD,Passing,,
GX010031_L.MP4,15407,8.568,KAD_LUPE_Transect 1,0.8242,43.205,2.537,8.297,1967.481,23.05,15.296,38.894,-589.32,-496.099,-1810.405,KAD_LUPE,Peter,Blenniidae,Plagiotremus,flavus,temp_code_003,1,AD,Passing,,
GX010031_L.MP4,15422,8.5763,KAD_LUPE_Transect 1,0.8325,,2.586,6.851,2017.75,22.104,,,-112.723,-751.931,-1869.013,KAD_LUPE,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,
GX010031_L.MP4,15428,8.5797,KAD_LUPE_Transect 1,0.8358,,2.566,4.861,2107.746,24.769,,,-878.605,-89.612,-1913.796,KAD_LUPE,Peter,Chaetodontidae,Chaetodon,pelewensis,37365049,1,AD,Passing,,
GX010031_L.MP4,15458,8.5964,KAD_LUPE_Transect 1,0.8525,,3.986,9.727,2673.668,25.114,,,-1059.089,-408.905,-2420.667,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,13.393,5.359,4749.151,12.117,,,-173.578,-984.378,-4642.769,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,13.421,0.942,4751.271,12.778,,,-164.036,-1040.682,-4632.996,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,14.036,4.964,4857.106,14.474,,,-219.556,-1196.724,-4702.247,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,14.09,3.346,4870.247,14.876,,,-60.323,-1251.628,-4706.282,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,12.925,4.973,4654.747,13.828,,,19.123,-1114.982,-4519.195,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,13.907,4.404,4828.471,13.863,,,119.598,-1153.424,-4687.157,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,14.134,5.849,4865.546,12.953,,,181.956,-1078.101,-4741.11,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,15.077,4.334,5013.443,12.212,,,371.511,-996.188,-4899.408,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,14.857,5.732,4965.104,12.573,,,446.684,-987.071,-4845.454,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,6.581,5.173,3263.647,17.383,,,170.269,-961.902,-3114.024,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,10.297,9.456,4496.831,32.916,,,2210.887,-1043.024,-3774.331,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,12.075,1.123,4790.308,30.493,,,2156.013,-1125.007,-4127.107,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,12.62,0.259,4802.285,27.808,,,1942.187,-1119.161,-4247.038,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,12.944,1.687,4927.91,29.214,,,2136.42,-1107.257,-4300.463,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,11.593,1.482,4630.033,28.289,,,1945.198,-1017.704,-4076.48,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,14.575,1.164,5208.575,27.747,,,2187.923,-1048.275,-4609.052,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15480,8.6086,KAD_LUPE_Transect 1,0.8648,,12.257,1.965,4899.499,30.692,,,2337.162,-892.287,-4212.67,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15511,8.6258,KAD_LUPE_Transect 1,0.882,,8.302,6.785,3825.432,23.616,,,-1206.077,-947.465,-3504.514,KAD_LUPE,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,double check,
GX010031_L.MP4,15532,8.6375,KAD_LUPE_Transect 1,0.8937,,18.69,6.726,5557.344,14.986,,,681.724,-1268.181,-5367.592,KAD_LUPE,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,
GX010031_L.MP4,15582,8.6653,KAD_LUPE_Transect 1,0.9215,87.693,6.946,4.314,2540.177,21.31,40.247,13.467,256.545,-886.769,-2366.5,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15582,8.6653,KAD_LUPE_Transect 1,0.9215,95.826,2.839,4.854,3164.88,16.152,0.593,2.649,241.258,-846.704,-3039.959,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15582,8.6653,KAD_LUPE_Transect 1,0.9215,,8.894,6.32,3792.642,15.07,,,428.727,-890.151,-3661.688,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15582,8.6653,KAD_LUPE_Transect 1,0.9215,,9.969,1.843,4375,30.336,,,2031.766,-870.966,-3775.443,KAD_LUPE,Peter,Labridae,Stethojulis,sp,,1,AD,Passing,,
GX010031_L.MP4,15605,8.6781,KAD_LUPE_Transect 1,0.9343,,8.161,13.789,3931.357,32.383,,,1800.9,-1092.817,-3319.348,KAD_LUPE,Peter,Balistidae,Balistapus,undulatus,37465047,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,77.664,6.594,17.526,4267.312,12.582,8.918,19.04,-108.934,-923.198,-4164.828,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,13.312,5.079,4732.323,12.222,,,21.67,-1004.269,-4624.484,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.601,1.747,3746.209,13.6,,,212.146,-857.106,-3640.666,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.024,2.085,3619.643,11.146,,,195.161,-674.022,-3550.975,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.42,6.758,3720,11.023,,,114.289,-704.147,-3650.961,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,10.65,2.718,4222.64,10.158,,,15.074,-746.966,-4156.02,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.8,3.867,3820.689,10.214,,,-181.96,-654.836,-3759.753,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.891,2.018,3836.2,11.023,,,-252.837,-690.724,-3765.024,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.166,2.25,3667.66,11.137,,,-228.901,-672.53,-3598.199,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,7.799,3.041,3576.048,12.109,,,-340.372,-670.548,-3496.088,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.638,2.758,4632.813,8.968,,,-281.606,-667.677,-4575.79,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.592,4.43,4614.05,9.921,,,-417.6,-679.1,-4544.655,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,10.627,2.499,4219.208,10.593,,,-453.291,-631.782,-4146.938,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.841,0.354,4463.774,11.294,,,-574.499,-661.462,-4376.951,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,14.465,2.139,4957.543,10.571,,,-587.975,-696.658,-4873.006,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.68,10.185,4630.276,11.125,,,-618.786,-647.14,-4542.881,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,13.638,1.989,4818.237,9.472,,,-483.217,-631.444,-4752.177,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.646,1.331,4625.882,10.07,,,-491.314,-645.162,-4554.246,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,6.574,0.955,3265.694,13.911,,,-122.339,-777.381,-3169.459,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,31.177,0.317,7366.785,7.993,,,580.857,-848.021,-7294.723,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,28.872,0.732,7062.015,8.592,,,611.566,-863.782,-6982.258,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,17.882,4.53,5557.972,7.367,,,277.107,-659.838,-5511.704,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.362,1.661,4367.191,8.152,,,353.408,-511.008,-4322.769,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,18.575,4.307,5635.168,8.537,,,408.05,-733.537,-5572.301,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.776,1.001,4441.548,8.665,,,396.554,-541.593,-4390.532,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.355,4.103,4580.436,8.233,,,94.297,-651.723,-4532.854,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,14.137,2.339,4923.308,7.708,,,99.242,-655.702,-4878.439,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,13.695,4.905,4845.778,7.774,,,12.248,-658.154,-4800.859,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.49,0.989,4616.422,7.935,,,-34.078,-639.098,-4571.843,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.424,1.968,4599.774,8.306,,,-68.124,-663.621,-4551.142,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,10.802,3.668,4252.781,9.235,,,156.932,-666.709,-4197.263,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,14.538,3.083,4922.28,11.123,,,443.922,-842.292,-4829.319,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.487,4.443,4383.978,9.582,,,220.707,-698.074,-4322.412,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,14.715,3.054,4978.464,9.481,,,381.183,-728.989,-4910.029,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,18.068,2.288,5513.657,10.368,,,563.504,-819.928,-5423.154,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,19.786,7.82,5759.443,11.292,,,695.364,-891.194,-5647.426,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,18.119,5.754,5508.89,11.059,,,658.111,-829.892,-5406.111,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,18.07,7.164,5509.925,10.554,,,637.886,-785.242,-5416.25,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,17.907,3.229,5471.872,11.309,,,626.499,-874.319,-5365.114,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,16.637,6.739,5249.688,12.847,,,743.987,-902.459,-5117.741,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.77,3.382,4391.099,12.927,,,555.39,-812.745,-4279.338,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,8.721,0.559,3754.62,14.967,,,418.59,-876.83,-3626.723,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,9.321,2.194,3880.291,15.97,,,613.591,-875.839,-3730.022,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.998,5.633,4607.507,15.904,,,763.067,-1008.45,-4430.562,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.024,2.721,4429.172,14.733,,,653.905,-919.679,-4283.009,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.965,3.063,4420.396,16.26,,,838.396,-913.01,-4243.042,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,11.016,2.337,4238.124,16.039,,,815.705,-842.495,-4072.655,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,12.315,7.203,4496.763,17.18,,,971.346,-908.439,-4295.591,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,17.079,5.492,5317.099,15.033,,,1014.889,-936.841,-5134.576,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,18.622,4.68,5570.711,16.381,,,1231.619,-978.533,-5344.007,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
GX010031_L.MP4,15820,8.7977,KAD_LUPE_Transect 1,1.0538,,18.156,1.128,5497.861,17.135,,,1250.153,-1033.024,-5253.232,KAD_LUPE,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,
