"effect","term","estimate","std.error","statistic","df","p.value","Response","Predictor"
"fixed","(Intercept)",5.6682578606857,0.0845877713316825,67.0103700741746,3.13153538266425,4.75503052613987e-06,"logBiomass","nutrint"
"fixed","nutrint",-0.360676588862575,0.0830550301716976,-4.34262185104211,5.25774295093587,0.00660352570583093,"logBiomass","nutrint"
"fixed","(Intercept)",5.66433940311822,0.106279504091785,53.296629971348,3.58387502150976,2.50677464072453e-06,"logBiomass","crypto5LR"
"fixed","crypto5LR",0.301273211266028,0.0833428233376507,3.61486687396545,55.6758900273267,0.000647203441903273,"logBiomass","crypto5LR"
"fixed","(Intercept)",5.66257176943937,0.110917800981976,51.0519656836643,3.3127837480849,6.48857024251902e-06,"logBiomass","pare5BRin"
"fixed","pare5BRin",-0.242919211989487,0.10421121181909,-2.33102760968937,6.23480375396125,0.0569613870861351,"logBiomass","pare5BRin"
"fixed","(Intercept)",5.64972811755446,0.147851241367414,38.2122467508726,3.47466519029774,1.09973540859005e-05,"logBiomass","Rnetflow"
"fixed","Rnetflow",0.156840350899202,0.12769488113673,1.22824305487441,7.6932418003517,0.255602617243009,"logBiomass","Rnetflow"
"fixed","(Intercept)",5.65215714462783,0.14976643673595,37.739811855129,3.29824955991343,1.83244257590841e-05,"logBiomass","Cnetflow"
"fixed","Cnetflow",0.105648251925285,0.120550605259715,0.876380933116647,12.1221613985533,0.397857497969685,"logBiomass","Cnetflow"
"fixed","(Intercept)",5.64649315992595,0.164783097643654,34.2662156536016,3.05327940403386,4.75199716311986e-05,"logBiomass","transi15BRIF"
"fixed","transi15BRIF",-0.241140894822927,0.150423905970755,-1.60307561000183,4.85997006736241,0.171495429585239,"logBiomass","transi15BRIF"
"fixed","(Intercept)",5.65271455626936,0.138731129421408,40.7458266925712,3.01261549724263,3.14013206971175e-05,"logBiomass","sst_sd_6_year_mean"
"fixed","sst_sd_6_year_mean",0.207411863331012,0.13738325494372,1.50973176036613,3.18186609239253,0.223185110833963,"logBiomass","sst_sd_6_year_mean"
"fixed","(Intercept)",5.65113828687789,0.138006937562335,40.9482188844701,2.88104330645515,4.48095985947861e-05,"logBiomass","sst_q90_6_year_mean"
"fixed","sst_q90_6_year_mean",-0.198808928262211,0.136186844674202,-1.45982476308794,3.03303419349694,0.239502474298129,"logBiomass","sst_q90_6_year_mean"
"fixed","(Intercept)",5.65155954839404,0.137365826825469,41.1423982150573,2.9053313520202,4.12657613019984e-05,"logBiomass","sst_mean_6_year_mean"
"fixed","sst_mean_6_year_mean",-0.203586915700135,0.135797685194404,-1.49919282798294,3.04196677428874,0.229561332363733,"logBiomass","sst_mean_6_year_mean"
"fixed","(Intercept)",5.13571796491819,0.0919694325026474,55.8415750229876,3.3230360472791,4.67370987844495e-06,"logabun","nutrint"
"fixed","nutrint",-0.136804385259193,0.0860622734519297,-1.58959762241937,6.72713130910931,0.157680146759211,"logabun","nutrint"
"fixed","(Intercept)",5.13560725613004,0.100306107122342,51.1993477113631,3.96928229714654,9.50803719295557e-07,"logabun","crypto5LR"
"fixed","crypto5LR",0.154320553900668,0.0752613686640238,2.05046169954169,63.2794958209056,0.0444667342210426,"logabun","crypto5LR"
"fixed","(Intercept)",5.13299063711953,0.102555691853707,50.0507630960317,3.17613317552286,1.03778308695212e-05,"logabun","pare5BRin"
"fixed","pare5BRin",-0.0193752369118134,0.0950211174686833,-0.203904536464739,6.39156964781297,0.844766696454115,"logabun","pare5BRin"
"fixed","(Intercept)",5.13007092202095,0.106839716559284,48.0165156482265,2.92775583758323,2.4651157833983e-05,"logabun","Rnetflow"
"fixed","Rnetflow",0.0983014965825302,0.0976515729788393,1.00665553645338,5.42825143561114,0.356843722255159,"logabun","Rnetflow"
"fixed","(Intercept)",5.12918488990628,0.112725966649684,45.5013608873822,2.64369836465481,6.68082121494047e-05,"logabun","Cnetflow"
"fixed","Cnetflow",0.163340131547814,0.096428515974908,1.69389863461466,7.89585801884937,0.129233773394947,"logabun","Cnetflow"
"fixed","(Intercept)",5.13194899910862,0.103860312108136,49.4120313615602,3.01122473353248,1.76502995692178e-05,"logabun","transi15BRIF"
"fixed","transi15BRIF",-0.0351555184974073,0.100276307399638,-0.350586488564038,3.93511216804698,0.743859438315047,"logabun","transi15BRIF"
"fixed","(Intercept)",5.13216362332353,0.108664597161378,47.2293990627116,3.01061885982787,2.02556915460645e-05,"logabun","sst_sd_6_year_mean"
"fixed","sst_sd_6_year_mean",-0.029427339508688,0.107932721839837,-0.272645209043793,3.17036367193782,0.801928462260437,"logabun","sst_sd_6_year_mean"
"fixed","(Intercept)",5.13274088092577,0.108150425041572,47.4592760865507,2.98962002846442,2.12385840924507e-05,"logabun","sst_q90_6_year_mean"
"fixed","sst_q90_6_year_mean",0.0488453056851048,0.107042168547333,0.45631834956245,3.16180623576911,0.677694067621528,"logabun","sst_q90_6_year_mean"
"fixed","(Intercept)",5.1325813991834,0.108248253614237,47.4149118144141,2.9942388195015,2.10095058705446e-05,"logabun","sst_mean_6_year_mean"
"fixed","sst_mean_6_year_mean",0.0442242417191413,0.107285674035548,0.412210130725266,3.1483247238091,0.706656383632698,"logabun","sst_mean_6_year_mean"
"fixed","(Intercept)",0.0836070312410401,0.00944610669420277,8.85095139697618,3.40796207998883,0.00181382245253898,"fric","nutrint"
"fixed","nutrint",-0.00680868331874162,0.00892961632587904,-0.762483299423434,6.62217896399122,0.472050603897314,"fric","nutrint"
"fixed","(Intercept)",0.0836318400371856,0.0101901444000039,8.20713002233353,4.0240938792309,0.00117051143959864,"fric","crypto5LR"
"fixed","crypto5LR",0.00995046267416746,0.00796217419932155,1.2497167764824,58.738634073531,0.216359645985943,"fric","crypto5LR"
"fixed","(Intercept)",0.0836519768131407,0.0113165044634816,7.39203320982072,2.86517725758334,0.0059786204791256,"fric","pare5BRin"
"fixed","pare5BRin",-0.0163351929519313,0.0102774600075153,-1.589419267016,6.34440192406212,0.160387811905237,"fric","pare5BRin"
"fixed","(Intercept)",0.0833619553934018,0.0102631641164367,8.12244201180564,3.3825135694665,0.00247606896465725,"fric","Rnetflow"
"fixed","Rnetflow",0.00588771268456036,0.00961310201303574,0.612467513251851,5.81650118133846,0.563388951184579,"fric","Rnetflow"
"fixed","(Intercept)",0.08337227522392,0.0102255946425496,8.15329358715244,3.47987726984238,0.00218652128571546,"fric","Cnetflow"
"fixed","Cnetflow",0.00956489764942,0.0093137777764961,1.02696219288779,8.14026904178784,0.333984506723092,"fric","Cnetflow"
"fixed","(Intercept)",0.0833700881029464,0.0102475423686571,8.13561780021913,3.2014977030881,0.00304524135341415,"fric","transi15BRIF"
"fixed","transi15BRIF",-0.00655052955814874,0.00997022583530921,-0.657009145665514,4.08355565586639,0.54636317164831,"fric","transi15BRIF"
"fixed","(Intercept)",0.0834142943554568,0.0110313719388992,7.56155216390797,3.04813037155779,0.00453782836511695,"fric","sst_sd_6_year_mean"
"fixed","sst_sd_6_year_mean",-0.00157974439577844,0.0109672374360366,-0.144042144158169,3.20840951336461,0.894044454257284,"fric","sst_sd_6_year_mean"
"fixed","(Intercept)",0.0834333277658256,0.0109817117463894,7.59747930856562,3.02703192834435,0.00458572992620057,"fric","sst_q90_6_year_mean"
"fixed","sst_q90_6_year_mean",0.00188534523205473,0.0108804543283351,0.173278171587457,3.20739187505245,0.872797779367837,"fric","sst_q90_6_year_mean"
"fixed","(Intercept)",0.0834278623711402,0.0109993492772719,7.58479981570623,3.02775647801229,0.00460418499759638,"fric","sst_mean_6_year_mean"
"fixed","sst_mean_6_year_mean",0.00179310019662847,0.0109114406777132,0.164332121631831,3.18910886002383,0.879338767403597,"fric","sst_mean_6_year_mean"
"fixed","(Intercept)",0.423046505997761,0.0148518569501598,28.4844183065747,3.05538013994211,8.30028402025658e-05,"feve","nutrint"
"fixed","nutrint",0.0179705253015924,0.0131332606682749,1.36832168000766,7.76649424639728,0.209482180215222,"feve","nutrint"
"fixed","(Intercept)",0.421873354827347,0.00990443238377541,42.5944000100827,3.60780083464588,5.23760064942344e-06,"feve","crypto5LR"
"fixed","crypto5LR",-0.0270110977980793,0.00951443671049935,-2.83895921744606,30.2907753457273,0.00800816714389545,"feve","crypto5LR"
