"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","Response","Predictor"
0.00377251202979903,-0.00432689844150347,397.47911829122,0.465776125702687,0.496220095464828,1,-924.502030294191,1855.00406058838,1863.48900180029,19432726.8857405,123,125,"biomass_kg_ha","nutrint"
0.267922668311233,0.261970820086121,340.732482281157,45.0150370402287,6.3580263721798e-10,1,-905.246437774407,1816.49287554881,1824.97781676072,14280130.8112219,123,125,"biomass_kg_ha","crypto5LR"
0.0111015901368396,0.00306176566640737,396.014325742539,1.38082493935876,0.242230435023988,1,-924.040528619674,1854.08105723935,1862.56599845126,19289763.5817781,123,125,"biomass_kg_ha","crypto5BRout"
0.00105811180024224,-0.00706336696560927,398.020251464384,0.130285608169201,0.718755287230353,1,-924.672091163251,1855.3441823265,1863.82912353841,19485674.8308199,123,125,"biomass_kg_ha","sst_sd_6_year_mean"
0.00132389076283152,-0.00679542719844606,397.967299211585,0.163054430082102,0.687060979455588,1,-924.655460170458,1855.31092034092,1863.79586155282,19480490.4627369,123,125,"biomass_kg_ha","sst_q90_6_year_mean"
0.00135101153635081,-0.00676808593083322,397.961895430436,0.166399226245447,0.684041135831355,1,-924.653762852032,1855.30752570406,1863.79246691597,19479961.436394,123,125,"biomass_kg_ha","sst_mean_6_year_mean"
0.00059837418191754,-0.00752684228814804,155.573685034074,0.0736440910986217,0.786557979230369,1,-807.249165045431,1620.49833009086,1628.98327130277,2976990.09143501,123,125,"abundance_ind_250m2","nutrint"
0.0461014501225075,0.0383461773592758,151.990767253069,5.94452980958685,0.0161921168168346,1,-804.336702435629,1614.67340487126,1623.15834608316,2841446.77961174,123,125,"abundance_ind_250m2","crypto5LR"
0.00249752616558086,-0.00561225004445509,155.425797256847,0.307964868684063,0.579939503191008,1,-807.130283988713,1620.26056797743,1628.74550918933,2971332.94970997,123,125,"abundance_ind_250m2","crypto5BRout"
0.0577524665518936,0.0500919174994701,151.059699934123,7.53894611948499,0.00694399756778189,1,-803.56862059014,1613.13724118028,1621.62218239219,2806741.05213502,123,125,"abundance_ind_250m2","sst_sd_6_year_mean"
0.0594740207710368,0.0518274680943787,150.92163835842,7.77788675314908,0.00613086722010648,1,-803.454324135512,1612.90864827102,1621.39358948293,2801612.93374912,123,125,"abundance_ind_250m2","sst_q90_6_year_mean"
0.0601825380567202,0.0525417456831976,150.864781483779,7.87647865753673,0.00582469879093462,1,-803.407223875547,1612.81444775109,1621.299388963,2799502.42193425,123,125,"abundance_ind_250m2","sst_mean_6_year_mean"
